,0,1,2,Act Enrl,Actv,Bldg/Rm,CRN,Course #,Course Title,Days,Instructor,Max Enrl,Seats Avail,Start - End,Time,Units
14,,,,,EXAM,REMOTE ONLY,,,Religion and Healing,R,,,,13-MAY 13-MAY,8:00-11:00am,
15,,,,21.0,LECT,REMOTE ONLY,16353.0,ANTH-131-01,Space and Place,TR,"Moyes, Holley",20.0,-1,19-JAN 07-MAY,3:00-4:15pm,4.0
16,,,,,EXAM,REMOTE ONLY,,,Space and Place,R,,,,13-MAY 13-MAY,3:00-6:00pm,
17,,,,25.0,LECT,REMOTE ONLY,16354.0,ANTH-149-01,Anthropology of Food,MW,"Jarrell, Heather",35.0,10,19-JAN 07-MAY,1:30-2:45pm,4.0
18,,,,,EXAM,REMOTE ONLY,,,Anthropology of Food,S,,,,08-MAY 08-MAY,11:30-2:30pm,
19,,,,44.0,LECT,REMOTE ONLY,16355.0,ANTH-151-01,Human Adaptability,TR,"Wooding, Stephen",55.0,11,19-JAN 07-MAY,1:30-2:45pm,4.0
20,,,,,EXAM,REMOTE ONLY,,,Human Adaptability,R,,,,13-MAY 13-MAY,8:00-11:00am,
21,,,,29.0,LECT,REMOTE ONLY,16356.0,ANTH-160-01,Human OriginsMust Also Register for a Corresponding Discussion Section,MW,"Jarrell, Heather",30.0,1,19-JAN 07-MAY,12:00-1:15pm,4.0
22,,,,,EXAM,REMOTE ONLY,,,Human OriginsMust Also Register for a Corresponding Discussion Section,F,,,,14-MAY 14-MAY,8:00-11:00am,
23,,,,15.0,DISC,REMOTE ONLY,16357.0,ANTH-160-02D,Human Origins,T,"Fleenor, Adam",15.0,Closed,19-JAN 07-MAY,12:30-1:20pm,0.0
24,,,,14.0,DISC,REMOTE ONLY,16358.0,ANTH-160-03D,Human Origins,T,"Fleenor, Adam",15.0,1,19-JAN 07-MAY,1:30-2:20pm,0.0
25,,,,10.0,LECT,REMOTE ONLY,15199.0,ANTH-169-01,Trends in Bio Anth,TR,"Scaffidi, Beth",30.0,20,19-JAN 07-MAY,12:00-1:15pm,4.0
26,,,,,EXAM,REMOTE ONLY,,,Trends in Bio Anth,F,,,,14-MAY 14-MAY,11:30-2:30pm,
27,,,,36.0,LECT,REMOTE ONLY,12896.0,ANTH-170-01,Ethnographic MethodsMust Also Register for a Corresponding Discussion Section,MW,"Perez, Doris",46.0,10,19-JAN 07-MAY,4:30-5:45pm,4.0
28,,,,22.0,DISC,REMOTE ONLY,13221.0,ANTH-170-02D,Ethnographic Methods,W,"Semerjian, Joshua",23.0,1,19-JAN 07-MAY,7:30-8:20pm,0.0
29,,,,14.0,DISC,REMOTE ONLY,13222.0,ANTH-170-03D,Ethnographic Methods,W,"Semerjian, Joshua",23.0,9,19-JAN 07-MAY,8:30-9:20pm,0.0
30,,,,11.0,LECT,REMOTE ONLY,16359.0,ANTH-179-01,BioarchaeologyMust Also Register for a Corresponding Lab Section,MW,"Scaffidi, Beth",18.0,7,19-JAN 07-MAY,1:30-2:45pm,4.0
31,,,,11.0,LAB,REMOTE ONLY,16360.0,ANTH-179-02L,Bioarchaeology,MW,"Palefsky, Gina",18.0,7,19-JAN 07-MAY,3:00-4:15pm,0.0
0,,,,111.0,LECT,REMOTE ONLY,10024.0,BIO-001-01,Contemporary BiologyMust Also Register for a Corresponding Discussion Section,MWF,"Beaster-Jones, Laura / Blois, Jessica / Kranzfelder, Petra",200.0,89,19-JAN 07-MAY,11:30-12:20pm,4.0
1,,,,,EXAM,REMOTE ONLY,,,Contemporary BiologyMust Also Register for a Corresponding Discussion Section,R,,,,13-MAY 13-MAY,6:30-9:30pm,
2,,,,21.0,DISC,REMOTE ONLY,10025.0,BIO-001-02D,Contemporary Biology,M,Staff,24.0,3,19-JAN 07-MAY,6:30-7:20pm,0.0
3,,,,16.0,DISC,REMOTE ONLY,10026.0,BIO-001-03D,Contemporary Biology,W,Staff,20.0,4,19-JAN 07-MAY,12:30-1:20pm,0.0
4,,,,20.0,DISC,REMOTE ONLY,10027.0,BIO-001-04D,Contemporary Biology,W,Staff,20.0,Closed,19-JAN 07-MAY,1:30-2:20pm,0.0
5,,,,8.0,DISC,REMOTE ONLY,10499.0,BIO-001-05D,Contemporary Biology,F,Staff,24.0,16,19-JAN 07-MAY,8:30-9:20am,0.0
6,,,,12.0,DISC,REMOTE ONLY,10500.0,BIO-001-06D,Contemporary Biology,F,Staff,24.0,12,19-JAN 07-MAY,9:30-10:20am,0.0
7,,,,15.0,DISC,REMOTE ONLY,14184.0,BIO-001-07D,Contemporary Biology,M,Staff,20.0,5,19-JAN 07-MAY,1:30-2:20pm,0.0
8,,,,4.0,DISC,REMOTE ONLY,14409.0,BIO-001-08D,Contemporary Biology,W,Staff,20.0,16,19-JAN 07-MAY,10:30-11:20am,0.0
9,,,,10.0,DISC,REMOTE ONLY,15096.0,BIO-001-09D,Contemporary Biology,R,Staff,24.0,14,19-JAN 07-MAY,12:30-1:20pm,0.0
10,,,,5.0,DISC,REMOTE ONLY,15097.0,BIO-001-10D,Contemporary Biology,R,Staff,24.0,19,19-JAN 07-MAY,1:30-2:20pm,0.0
11,,,,12.0,LAB,REMOTE ONLY,10634.0,BIO-001L-01,Contemporary Biology Lab,R,"Conte, Debye",24.0,12,19-JAN 07-MAY,3:00-5:50pm,1.0
12,,,,15.0,LAB,REMOTE ONLY,10028.0,BIO-001L-02,Contemporary Biology Lab,M,"Conte, Debye",24.0,9,19-JAN 07-MAY,3:00-5:50pm,1.0
13,,,,13.0,LAB,REMOTE ONLY,10029.0,BIO-001L-03,Contemporary Biology Lab,T,"Conte, Debye",24.0,11,19-JAN 07-MAY,8:00-10:50am,1.0
14,,,,24.0,LAB,REMOTE ONLY,10030.0,BIO-001L-04,Contemporary Biology Lab,T,"Conte, Debye",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
15,,,,16.0,LAB,REMOTE ONLY,10031.0,BIO-001L-05,Contemporary Biology Lab,T,"Conte, Debye",24.0,8,19-JAN 07-MAY,3:00-5:50pm,1.0
16,,,,10.0,LAB,REMOTE ONLY,10497.0,BIO-001L-06,Contemporary Biology Lab,W,"Conte, Debye",24.0,14,19-JAN 07-MAY,8:00-10:50am,1.0
17,,,,10.0,LAB,REMOTE ONLY,10032.0,BIO-001L-07,Contemporary Biology Lab,W,"Conte, Debye",24.0,14,19-JAN 07-MAY,3:00-5:50pm,1.0
18,,,,14.0,LAB,REMOTE ONLY,10498.0,BIO-001L-08,Contemporary Biology Lab,R,"Conte, Debye",24.0,10,19-JAN 07-MAY,11:30-2:20pm,1.0
19,,,,150.0,LECT,REMOTE ONLY,10033.0,BIO-002-01,"Introduction Molecular BiologyMust Also Register for a Corresponding Discussion SectionIf Required, Also Register for a Corresponding Lab Section*Lab and Discussion Section Numbers Do Not Have to Match*",TR,"Oviedo, Nestor / Dulai, Kamal / Nishiguchi, Michele",168.0,18,19-JAN 07-MAY,7:30-8:45am,4.0
20,,,,,EXAM,REMOTE ONLY,,,"Introduction Molecular BiologyMust Also Register for a Corresponding Discussion SectionIf Required, Also Register for a Corresponding Lab Section*Lab and Discussion Section Numbers Do Not Have to Match*",M,,,,10-MAY 10-MAY,11:30-2:30pm,
21,,,,24.0,DISC,REMOTE ONLY,10034.0,BIO-002-02D,Introduction Molecular Biology,T,Staff,24.0,Closed,19-JAN 07-MAY,4:30-5:20pm,0.0
22,,,,24.0,DISC,REMOTE ONLY,10035.0,BIO-002-03D,Introduction Molecular Biology,W,Staff,24.0,Closed,19-JAN 07-MAY,12:30-1:20pm,0.0
23,,,,24.0,DISC,REMOTE ONLY,10036.0,BIO-002-04D,Introduction Molecular Biology,W,Staff,24.0,Closed,19-JAN 07-MAY,1:30-2:20pm,0.0
24,,,,14.0,DISC,REMOTE ONLY,13687.0,BIO-002-05D,Introduction Molecular Biology,W,Staff,24.0,10,19-JAN 07-MAY,4:30-5:20pm,0.0
25,,,,17.0,DISC,REMOTE ONLY,14185.0,BIO-002-06D,Introduction Molecular Biology,T,Staff,24.0,7,19-JAN 07-MAY,6:30-7:20pm,0.0
26,,,,23.0,DISC,REMOTE ONLY,14375.0,BIO-002-07D,Introduction Molecular Biology,M,Staff,24.0,1,19-JAN 07-MAY,10:30-11:20am,0.0
27,,,,24.0,DISC,REMOTE ONLY,15331.0,BIO-002-08D,Introduction Molecular Biology,R,Staff,24.0,Closed,19-JAN 07-MAY,9:30-10:20am,0.0
28,,,,216.0,LECT,REMOTE ONLY,13288.0,BIO-002-20,"Introduction Molecular BiologyMust Also Register for a Corresponding Discussion SectionIf Required, Also Register for a Corresponding Lab Section*Lab and Discussion Section Numbers Do Not Have to Match*",TR,"Dulai, Kamal / Nishiguchi, Michele / Oviedo, Nestor",216.0,Closed,19-JAN 07-MAY,9:00-10:15am,4.0
29,,,,,EXAM,REMOTE ONLY,,,"Introduction Molecular BiologyMust Also Register for a Corresponding Discussion SectionIf Required, Also Register for a Corresponding Lab Section*Lab and Discussion Section Numbers Do Not Have to Match*",M,,,,10-MAY 10-MAY,11:30-2:30pm,
30,,,,24.0,DISC,REMOTE ONLY,10037.0,BIO-002-21D,Introduction Molecular Biology,W,Staff,24.0,Closed,19-JAN 07-MAY,2:30-3:20pm,0.0
31,,,,24.0,DISC,REMOTE ONLY,10038.0,BIO-002-22D,Introduction Molecular Biology,W,Staff,24.0,Closed,19-JAN 07-MAY,3:30-4:20pm,0.0
32,,,,24.0,DISC,REMOTE ONLY,10437.0,BIO-002-23D,Introduction Molecular Biology,R,Staff,24.0,Closed,19-JAN 07-MAY,6:30-7:20pm,0.0
33,,,,24.0,DISC,REMOTE ONLY,10583.0,BIO-002-24D,Introduction Molecular Biology,R,Staff,24.0,Closed,19-JAN 07-MAY,7:30-8:20pm,0.0
34,,,,24.0,DISC,REMOTE ONLY,14008.0,BIO-002-25D,Introduction Molecular Biology,W,Staff,24.0,Closed,19-JAN 07-MAY,1:30-2:20pm,0.0
35,,,,24.0,DISC,REMOTE ONLY,14186.0,BIO-002-26D,Introduction Molecular Biology,W,Staff,24.0,Closed,19-JAN 07-MAY,1:30-2:20pm,0.0
36,,,,24.0,DISC,REMOTE ONLY,15332.0,BIO-002-27D,Introduction Molecular Biology,R,Staff,24.0,Closed,19-JAN 07-MAY,10:30-11:20am,0.0
37,,,,24.0,DISC,REMOTE ONLY,15333.0,BIO-002-28D,Introduction Molecular Biology,R,Staff,24.0,Closed,19-JAN 07-MAY,11:30-12:20pm,0.0
38,,,,24.0,DISC,REMOTE ONLY,15334.0,BIO-002-29D,Introduction Molecular Biology,R,Staff,24.0,Closed,19-JAN 07-MAY,12:30-1:20pm,0.0
39,,,,24.0,LAB,REMOTE ONLY,10039.0,BIO-002L-01,Molecular Biology Lab,M,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
40,,,,24.0,LAB,REMOTE ONLY,10040.0,BIO-002L-02,Molecular Biology Lab,M,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,3:00-5:50pm,1.0
41,,,,24.0,LAB,REMOTE ONLY,10041.0,BIO-002L-03,Molecular Biology Lab,T,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
42,,,,24.0,LAB,REMOTE ONLY,10042.0,BIO-002L-04,Molecular Biology Lab,T,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,3:00-5:50pm,1.0
43,,,,23.0,LAB,REMOTE ONLY,10432.0,BIO-002L-05,Molecular Biology Lab,W,"Dulai, Kamal / Gomez Daglio, Liza",24.0,1,19-JAN 07-MAY,8:00-10:50am,1.0
44,,,,18.0,LAB,REMOTE ONLY,10582.0,BIO-002L-06,Molecular Biology Lab,W,"Dulai, Kamal / Gomez Daglio, Liza",24.0,6,19-JAN 07-MAY,11:30-2:20pm,1.0
45,,,,16.0,LAB,REMOTE ONLY,13150.0,BIO-002L-07,Molecular Biology Lab,W,"Dulai, Kamal / Gomez Daglio, Liza",24.0,8,19-JAN 07-MAY,3:00-5:50pm,1.0
46,,,,24.0,LAB,REMOTE ONLY,14395.0,BIO-002L-08,Molecular Biology Lab,R,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
47,,,,24.0,LAB,REMOTE ONLY,14401.0,BIO-002L-09,Molecular Biology Lab,R,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,3:00-5:50pm,1.0
48,,,,24.0,LAB,REMOTE ONLY,14403.0,BIO-002L-10,Molecular Biology Lab,F,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,8:00-10:50am,1.0
49,,,,24.0,LAB,REMOTE ONLY,14606.0,BIO-002L-11,Molecular Biology Lab,F,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
50,,,,24.0,LAB,REMOTE ONLY,15337.0,BIO-002L-12,Molecular Biology Lab,T,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
51,,,,24.0,LAB,REMOTE ONLY,15338.0,BIO-002L-13,Molecular Biology Lab,T,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,3:00-5:50pm,1.0
52,,,,24.0,LAB,REMOTE ONLY,15339.0,BIO-002L-14,Molecular Biology Lab,R,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
53,,,,24.0,LAB,REMOTE ONLY,15340.0,BIO-002L-15,Molecular Biology Lab,R,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,3:00-5:50pm,1.0
54,,,,24.0,LAB,REMOTE ONLY,15341.0,BIO-002L-16,Molecular Biology Lab,F,"Dulai, Kamal / Gomez Daglio, Liza",24.0,Closed,19-JAN 07-MAY,11:30-2:20pm,1.0
55,,,,183.0,LECT,REMOTE ONLY,13290.0,BIO-005-01,Biology TodayMust Also Register for a Corresponding Discussion Section,MWF,"Gomez Daglio, Liza",240.0,57,19-JAN 07-MAY,12:30-1:20pm,4.0
56,,,,,EXAM,REMOTE ONLY,,,Biology TodayMust Also Register for a Corresponding Discussion Section,M,,,,10-MAY 10-MAY,3:00-6:00pm,
57,,,,23.0,DISC,REMOTE ONLY,13291.0,BIO-005-02D,Biology Today,M,Staff,24.0,1,19-JAN 07-MAY,1:30-3:20pm,0.0
58,,,,24.0,DISC,REMOTE ONLY,13292.0,BIO-005-03D,Biology Today,T,Staff,24.0,Closed,19-JAN 07-MAY,8:30-10:20am,0.0
59,,,,16.0,DISC,REMOTE ONLY,13293.0,BIO-005-04D,Biology Today,R,Staff,24.0,8,19-JAN 07-MAY,9:30-11:20am,0.0
60,,,,24.0,DISC,REMOTE ONLY,13294.0,BIO-005-05D,Biology Today,W,Staff,24.0,Closed,19-JAN 07-MAY,10:30-12:20pm,0.0
61,,,,19.0,DISC,REMOTE ONLY,13295.0,BIO-005-06D,Biology Today,F,Staff,24.0,5,19-JAN 07-MAY,3:30-5:20pm,0.0
62,,,,15.0,DISC,REMOTE ONLY,13638.0,BIO-005-07D,Biology Today,T,Staff,24.0,9,19-JAN 07-MAY,5:30-7:20pm,0.0
63,,,,18.0,DISC,REMOTE ONLY,14187.0,BIO-005-08D,Biology Today,M,Staff,24.0,6,19-JAN 07-MAY,4:30-6:20pm,0.0
64,,,,9.0,DISC,REMOTE ONLY,14188.0,BIO-005-09D,Biology Today,F,Staff,24.0,15,19-JAN 07-MAY,10:30-12:20pm,0.0
65,,,,15.0,DISC,REMOTE ONLY,14189.0,BIO-005-10D,Biology Today,F,Staff,24.0,9,19-JAN 07-MAY,8:30-10:20am,0.0
66,,,,20.0,DISC,REMOTE ONLY,15355.0,BIO-005-11D,Biology Today,F,Staff,24.0,4,19-JAN 07-MAY,1:30-3:20pm,0.0
67,,,,59.0,LECT,REMOTE ONLY,14177.0,BIO-018-01,Stat Sci Data AnalysisMust Also Register for a Corresponding Discussion Section,MW,"Sollberger, Derek",60.0,1,19-JAN 07-MAY,3:00-4:15pm,4.0
68,,,,,EXAM,REMOTE ONLY,,,Stat Sci Data AnalysisMust Also Register for a Corresponding Discussion Section,W,,,,12-MAY 12-MAY,8:00-11:00am,
69,,,,19.0,DISC,REMOTE ONLY,14178.0,BIO-018-02D,Stat Sci Data Analysis,R,Staff,20.0,1,19-JAN 07-MAY,11:30-1:20pm,0.0
70,,,,20.0,DISC,REMOTE ONLY,14190.0,BIO-018-03D,Stat Sci Data Analysis,W,Staff,20.0,Closed,19-JAN 07-MAY,5:30-7:20pm,0.0
71,,,,20.0,DISC,REMOTE ONLY,14179.0,BIO-018-04D,Stat Sci Data Analysis,F,Staff,20.0,Closed,19-JAN 07-MAY,11:30-1:20pm,0.0
72,,,,179.0,LECT,REMOTE ONLY,10043.0,BIO-060-01,NutritionMust Also Register for a Corresponding Discussion Section,TR,"Conte, Debye",180.0,1,19-JAN 07-MAY,10:30-11:45am,4.0
73,,,,,EXAM,REMOTE ONLY,,,NutritionMust Also Register for a Corresponding Discussion Section,S,,,,08-MAY 08-MAY,11:30-2:30pm,
74,,,,20.0,DISC,REMOTE ONLY,10044.0,BIO-060-02D,Nutrition,M,Staff,20.0,Closed,19-JAN 07-MAY,6:30-7:20pm,0.0
75,,,,20.0,DISC,REMOTE ONLY,10045.0,BIO-060-03D,Nutrition,M,Staff,20.0,Closed,19-JAN 07-MAY,7:30-8:20pm,0.0
76,,,,20.0,DISC,REMOTE ONLY,10046.0,BIO-060-04D,Nutrition,M,Staff,20.0,Closed,19-JAN 07-MAY,8:30-9:20pm,0.0
77,,,,19.0,DISC,REMOTE ONLY,10504.0,BIO-060-05D,Nutrition,T,Staff,20.0,1,19-JAN 07-MAY,8:00-8:50am,0.0
78,,,,20.0,DISC,REMOTE ONLY,10502.0,BIO-060-06D,Nutrition,R,Staff,20.0,Closed,19-JAN 07-MAY,8:00-8:50am,0.0
79,,,,20.0,DISC,REMOTE ONLY,10503.0,BIO-060-07D,Nutrition,T,Staff,20.0,Closed,19-JAN 07-MAY,3:30-4:20pm,0.0
80,,,,20.0,DISC,REMOTE ONLY,14191.0,BIO-060-08D,Nutrition,M,Staff,20.0,Closed,19-JAN 07-MAY,4:30-5:20pm,0.0
81,,,,20.0,DISC,REMOTE ONLY,14192.0,BIO-060-09D,Nutrition,M,Staff,20.0,Closed,19-JAN 07-MAY,3:30-4:20pm,0.0
82,,,,20.0,DISC,REMOTE ONLY,14193.0,BIO-060-10D,Nutrition,M,Staff,20.0,Closed,19-JAN 07-MAY,5:30-6:20pm,0.0
83,,,,44.0,LECT,REMOTE ONLY,16483.0,BIO-065-10,Natural History of Dinosaurs,MW,"Yeakel, Justin",180.0,136,19-JAN 07-MAY,10:30-11:45am,4.0
84,,,,,EXAM,REMOTE ONLY,,,Natural History of Dinosaurs,S,,,,08-MAY 08-MAY,8:00-11:00am,
85,,,,17.0,DISC,REMOTE ONLY,16484.0,BIO-065-11D,Natural History of Dinosaurs,M,Staff,30.0,13,19-JAN 07-MAY,12:30-1:20pm,0.0
86,,,,9.0,DISC,REMOTE ONLY,16486.0,BIO-065-12D,Natural History of Dinosaurs,W,Staff,30.0,21,19-JAN 07-MAY,12:30-1:20pm,0.0
87,,,,7.0,DISC,REMOTE ONLY,16487.0,BIO-065-13D,Natural History of Dinosaurs,M,Staff,30.0,23,19-JAN 07-MAY,1:30-2:20pm,0.0
88,,,,7.0,DISC,REMOTE ONLY,16488.0,BIO-065-14D,Natural History of Dinosaurs,W,Staff,30.0,23,19-JAN 07-MAY,1:30-2:20pm,0.0
89,,,,2.0,DISC,REMOTE ONLY,16489.0,BIO-065-15D,Natural History of Dinosaurs,M,Staff,30.0,28,19-JAN 07-MAY,2:30-3:20pm,0.0
90,,,,2.0,DISC,REMOTE ONLY,16490.0,BIO-065-16D,Natural History of Dinosaurs,W,Staff,30.0,28,19-JAN 07-MAY,2:30-3:20pm,0.0
91,,,,166.0,LECT,REMOTE ONLY,10047.0,BIO-101-01,Biochemistry IMust Also Register for a Corresponding Discussion Section,TR,"Dutagaci, Bercem / LiWang, Patricia",216.0,50,19-JAN 07-MAY,4:30-5:45pm,4.0
92,,,,,EXAM,REMOTE ONLY,,,Biochemistry IMust Also Register for a Corresponding Discussion Section,R,,,,13-MAY 13-MAY,6:30-9:30pm,
93,,,,24.0,DISC,REMOTE ONLY,10048.0,BIO-101-02D,Biochemistry I,W,Staff,24.0,Closed,19-JAN 07-MAY,2:30-3:20pm,0.0
94,,,,11.0,DISC,REMOTE ONLY,10049.0,BIO-101-03D,Biochemistry I,T,Staff,24.0,13,19-JAN 07-MAY,8:30-9:20pm,0.0
95,,,,18.0,DISC,REMOTE ONLY,10584.0,BIO-101-04D,Biochemistry I,F,Staff,24.0,6,19-JAN 07-MAY,1:30-2:20pm,0.0
96,,,,8.0,DISC,REMOTE ONLY,10635.0,BIO-101-05D,Biochemistry I,F,Staff,24.0,16,19-JAN 07-MAY,2:30-3:20pm,0.0
97,,,,24.0,DISC,REMOTE ONLY,10636.0,BIO-101-06D,Biochemistry I,R,Staff,24.0,Closed,19-JAN 07-MAY,11:30-12:20pm,0.0
98,,,,24.0,DISC,REMOTE ONLY,14194.0,BIO-101-07D,Biochemistry I,T,Staff,24.0,Closed,19-JAN 07-MAY,6:30-7:20pm,0.0
99,,,,23.0,DISC,REMOTE ONLY,14195.0,BIO-101-08D,Biochemistry I,W,Staff,24.0,1,19-JAN 07-MAY,11:30-12:20pm,0.0
100,,,,24.0,DISC,REMOTE ONLY,14790.0,BIO-101-09D,Biochemistry I,W,Staff,24.0,Closed,19-JAN 07-MAY,10:30-11:20am,0.0
101,,,,10.0,DISC,REMOTE ONLY,15335.0,BIO-101-10D,Biochemistry I,T,Staff,24.0,14,19-JAN 07-MAY,7:30-8:20pm,0.0
102,,,,20.0,LECT,REMOTE ONLY,10050.0,BIO-102-01,Biochemistry IIMust Also Register for a Corresponding Discussion and Lab,TR,"LiWang, Andy",24.0,4,19-JAN 07-MAY,9:30-10:20am,4.0
103,,,,,EXAM,REMOTE ONLY,,,Biochemistry IIMust Also Register for a Corresponding Discussion and Lab,T,,,,11-MAY 11-MAY,3:00-6:00pm,
104,,,,20.0,DISC,REMOTE ONLY,10382.0,BIO-102-02D,Biochemistry II,T,Staff,24.0,4,19-JAN 07-MAY,4:30-5:20pm,0.0
105,,,,20.0,LAB,REMOTE ONLY,10051.0,BIO-102-02L,Biochemistry II,T,Staff,24.0,4,19-JAN 07-MAY,6:30-9:20pm,0.0
106,,,,115.0,LECT,REMOTE ONLY,10052.0,BIO-110-01,The CellMust Also Register for a Corresponding Discussion Section,MW,"Dimitrijevic Stamenov, Aleksan / Woo, Stephanie",264.0,149,19-JAN 07-MAY,11:00-12:20pm,4.0
107,,,,,EXAM,REMOTE ONLY,,,The CellMust Also Register for a Corresponding Discussion Section,M,,,,10-MAY 10-MAY,3:00-6:00pm,
108,,,,20.0,DISC,REMOTE ONLY,10053.0,BIO-110-02D,The Cell,M,Staff,24.0,4,19-JAN 07-MAY,3:30-4:20pm,0.0
109,,,,9.0,DISC,REMOTE ONLY,10054.0,BIO-110-03D,The Cell,M,Staff,24.0,15,19-JAN 07-MAY,7:00-7:50pm,0.0
110,,,,9.0,DISC,REMOTE ONLY,10055.0,BIO-110-04D,The Cell,T,Staff,24.0,15,19-JAN 07-MAY,8:30-9:20am,0.0
111,,,,11.0,DISC,REMOTE ONLY,14399.0,BIO-110-05D,The Cell,T,Staff,24.0,13,19-JAN 07-MAY,1:30-2:20pm,0.0
112,,,,10.0,DISC,REMOTE ONLY,14400.0,BIO-110-06D,The Cell,T,Staff,24.0,14,19-JAN 07-MAY,2:30-3:20pm,0.0
113,,,,12.0,DISC,REMOTE ONLY,15415.0,BIO-110-07D,The Cell,T,Staff,24.0,12,19-JAN 07-MAY,9:30-10:20am,0.0
114,,,,24.0,DISC,REMOTE ONLY,10536.0,BIO-110-11D,The Cell,M,Staff,24.0,Closed,19-JAN 07-MAY,12:30-1:20pm,0.0
115,,,,13.0,DISC,REMOTE ONLY,13095.0,BIO-110-12D,The Cell,T,Staff,24.0,11,19-JAN 07-MAY,11:30-12:20pm,0.0
116,,,,5.0,DISC,REMOTE ONLY,13647.0,BIO-110-13D,The Cell,T,Staff,24.0,19,19-JAN 07-MAY,6:30-7:20pm,0.0
117,,,,2.0,DISC,REMOTE ONLY,14396.0,BIO-110-14D,The Cell,M,Staff,24.0,22,19-JAN 07-MAY,3:30-4:20pm,0.0
118,,,,0.0,DISC,REMOTE ONLY,14397.0,BIO-110-15D,The Cell,M,Staff,24.0,24,19-JAN 07-MAY,4:30-5:20pm,0.0
